City,State,Population
Portland,Oregon,647924
Boulder,Colorado,106447
Chicago,Illinois,2711069
Seattle,Washington,728661
Austin,Texas,951553
Denver,Colorado,704961
San Diego,California,1412621
Bend,Oregon,94557
Portland,Maine,66646
San Francisco,California,878040
Brooklyn,New York,2556539
Cincinnati,Ohio,301587
Anchorage,Alaska,294338
Indianapolis,Indiana,863478
Tampa,Florida,391026
Stevens Point,Wisconsin,26223
Saint Louis,Missouri,308233
Santa Cruz,California,64815
San Antonio,Texas,1511154
Albuquerque,New Mexico,559673
Grand Rapids,Michigan,199135
Minneapolis,Minnesota,420925
Jacksonville,Florida,892025
Edwards,Colorado,9202
Columbus,Ohio,881694
Cleveland,Ohio,385252
Charlotte,North Carolina,860002
Baltimore,Maryland,610481
Traverse City,Michigan,15495
